Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Gavin Sheets OF | SD,418,39,97,62,21,1,13,53,38,93,2,1,0.232,0.298,0.38,292
"Nolan Gorman 2B,3B | STL ",374,50,81,46,15,0,20,57,45,145,5,1,0.217,0.3,0.417,291
Wilmer Flores 1B | SF,346,38,87,58,15,0,14,52,32,61,0,0,0.251,0.32,0.416,289
"Liam Hicks C,1B | MIA",332,37,82,62,13,1,6,45,43,56,2,0,0.247,0.346,0.346,280
"Miguel Rojas 2B,3B,SS | LAD ",327,42,85,61,18,0,6,31,24,43,7,2,0.26,0.315,0.37,273
Gabriel Moreno C | ARI,308,39,86,62,16,1,7,45,33,60,4,2,0.279,0.349,0.406,273
Jacob Young OF | WAS ,300,39,74,57,14,1,2,26,22,63,20,7,0.247,0.308,0.32,269
Matt McLain 2B | CIN ,292,46,73,48,14,1,10,33,29,94,11,2,0.25,0.325,0.407,263
Joseph Ortiz SS | MIL ,314,41,73,50,15,2,6,36,28,62,8,3,0.233,0.3,0.35,260
Mark Vientos 3B | NYM,352,40,85,50,16,1,18,51,24,107,1,0,0.241,0.294,0.446,258
Whit Merrifield 2B | ATL,280,37,71,53,12,1,5,27,24,51,14,4,0.254,0.315,0.357,258
Tyler Freeman OF | COL ,287,39,71,52,14,1,4,27,24,45,11,5,0.247,0.326,0.345,257
Will Benson OF | CIN,287,41,65,35,14,4,12,38,32,108,12,4,0.227,0.303,0.429,255
Bryan De La Cruz OF | PHI ,403,41,98,66,19,0,13,49,24,110,3,1,0.243,0.285,0.387,254
Jakob Marsee OF | MIA ,209,28,61,35,18,3,5,33,22,48,14,6,0.292,0.363,0.478,254
Francisco Alvarez C | NYM ,312,41,72,42,13,1,16,47,30,90,1,0,0.231,0.305,0.433,251
J.D. Martinez DH | NYM,289,36,73,39,17,1,16,57,28,97,0,0,0.253,0.321,0.484,251
